email,points,customerId
bill34@example.com,105,398405
luis40@example.org,673,250869
stacystone@example.net,90,81693
johnsontodd@example.org,797,593468
michael93@example.net,0,345178
kyle86@example.com,0,865722
ashleybecker@example.net,285,678136
michael54@example.org,6,625747
grossjennifer@example.org,397,586163
anahall@example.net,934,122401
justin81@example.org,689,102966
jeremyscott@example.com,287,145715
deborah34@example.com,494,547754
dscott@example.net,537,562324
csmith@example.org,285,956110
ogonzales@example.org,641,891738
howardvalerie@example.org,821,359078
stephaniekelly@example.com,137,297288
zrodriguez@example.com,686,167039
lguerrero@example.org,488,933818
melindawillis@example.org,450,933513
tina24@example.net,410,661822
xstrong@example.net,250,476021
sandra34@example.net,369,87179
julie27@example.net,592,36510
kyletrevino@example.com,6,935768
robinsoneric@example.com,78,534716
marshalljacqueline@example.net,801,410164
kevin96@example.org,275,520085
bentonchristopher@example.com,893,445969
