email,points,customerId
,101,937844
,102,876130
mark39@example.com,,382765
jill56@example.com,,459204
pete91@example.com,103,
bill34@example.com,,398405
bill34@example.com,104,398405
luis40@example.org,673,250869
luis40@example.org,100,250869
sheila62@example.org,200,353015
sheila62@example.org,200,353016
stacystone@example.net,90,81693
stacystone@example.net,90,81693
johnsontodd@example.org,797,593468
johnsontodd@example.org,797,593468
michael93@example.net,-168,345178
kyle86@example.com,-746,865722
ashleybecker@example.net,285,678136
michael54@example.org,6,625747
grossjennifer@example.org,397,586163
anahall@example.net,934,122401
justin81@example.org,689,102966
jeremyscott@example.com,287,145715
deborah34@example.com,494,547754
dscott@example.net,537,562324
csmith@example.org,285,956110
ogonzales@example.org,641,891738
howardvalerie@example.org,821,359078
stephaniekelly@example.com,137,297288
zrodriguez@example.com,686,167039
lguerrero@example.org,488,933818
melindawillis@example.org,450,933513
tina24@example.net,410,661822
xstrong@example.net,250,476021
sandra34@example.net,369,87179
julie27@example.net,592,36510
kyletrevino@example.com,6,935768
robinsoneric@example.com,78,534716
marshalljacqueline@example.net,801,410164
kevin96@example.org,275,520085
bentonchristopher@example.com,893,445969
